EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,WorkLifeBalance,JobSatisfaction,OverTime,PerformanceRating,Feedback,Attrition
16,,Female,IT,Technician,,13,1,,No,2,Great team and supportive manager,0
10,39.0,Male,Operations,Engineer,8925.0,13,2,4.0,No,2,Workload is too high and stressful,0
101,23.0,Male,Sales,Technician,4096.0,8,1,2.0,No,1,Need more career growth opportunities,0
133,26.0,Female,HR,Analyst,5668.0,14,2,4.0,No,1,Lack of recognition for hard work,0
69,37.0,Male,Sales,Analyst,5719.0,9,1,1.0,No,2,I am happy with my work environment,0
96,,Female,Finance,Engineer,,17,2,,No,2,Lack of recognition for hard work,0
160,40.0,Male,Finance,Engineer,4667.0,18,2,2.0,No,5,Workload is too high and stressful,0
163,44.0,Female,Finance,Technician,5095.0,14,2,1.0,No,4,Need more career growth opportunities,0
148,24.0,Male,Sales,Engineer,7198.0,18,1,4.0,No,1,Lack of recognition for hard work,0
183,26.0,Male,Finance,Analyst,6033.0,14,4,2.0,No,4,Salary is not competitive,1
192,41.0,Female,Sales,Executive,4854.0,11,2,1.0,No,4,Salary is not competitive,0
165,42.0,Male,HR,Manager,6833.0,12,1,1.0,No,2,Flexible work hours are appreciated,0
66,45.0,Female,Sales,Manager,5768.0,13,2,4.0,No,2,Need more career growth opportunities,0
176,41.0,Female,Finance,Executive,5935.0,14,4,4.0,No,4,Flexible work hours are appreciated,0
74,47.0,Female,Operations,Analyst,4362.0,17,3,4.0,No,4,I am happy with my work environment,0
153,29.0,Female,Operations,Engineer,8644.0,12,4,2.0,Yes,1,Need more career growth opportunities,0
19,27.0,Male,Operations,Manager,6146.0,11,3,4.0,No,5,I am happy with my work environment,1
83,46.0,Male,Operations,Executive,9761.0,5,1,4.0,Yes,1,Need more career growth opportunities,0
87,42.0,Female,HR,Engineer,6995.0,6,2,1.0,No,2,Flexible work hours are appreciated,0
144,36.0,Female,Sales,Executive,4505.0,15,2,2.0,No,1,Need more career growth opportunities,0
61,31.0,Female,IT,Manager,1566.0,15,4,3.0,Yes,4,Great team and supportive manager,1
102,31.0,Male,Operations,Technician,6952.0,17,3,1.0,Yes,2,Salary is not competitive,0
99,35.0,Male,HR,Analyst,3686.0,16,4,4.0,Yes,4,Need more career growth opportunities,1
31,,Female,IT,Manager,,10,2,,Yes,3,Flexible work hours are appreciated,1
26,35.0,Female,Finance,Manager,7975.0,2,3,1.0,No,4,Need more career growth opportunities,0
17,26.0,Male,Sales,Engineer,4679.0,2,1,1.0,No,4,I am happy with my work environment,0
169,33.0,Male,Operations,Manager,8857.0,10,3,4.0,No,2,Great team and supportive manager,0
196,38.0,Male,Operations,Technician,6877.0,11,4,1.0,No,5,Workload is too high and stressful,0
98,37.0,Female,HR,Engineer,3595.0,12,1,3.0,No,4,Salary is not competitive,1
195,36.0,Female,Finance,Technician,4059.0,14,4,1.0,Yes,1,Salary is not competitive,0
68,43.0,Female,Finance,Engineer,6581.0,2,2,1.0,No,1,Workload is too high and stressful,0
121,41.0,Female,Finance,Analyst,6260.0,9,3,3.0,No,1,Great team and supportive manager,0
155,37.0,Male,Operations,Technician,4154.0,3,2,4.0,No,2,Need more career growth opportunities,0
31,,Female,IT,Manager,,10,2,,Yes,3,Flexible work hours are appreciated,1
80,19.0,Female,IT,Executive,6013.0,3,2,3.0,Yes,5,Flexible work hours are appreciated,1
70,,Male,Finance,Technician,,2,3,,Yes,5,Workload is too high and stressful,0
146,41.0,Female,Sales,Manager,1813.0,4,4,4.0,Yes,3,Need more career growth opportunities,0
56,42.0,Female,Sales,Analyst,7266.0,2,3,3.0,No,4,I am happy with my work environment,0
46,,Female,HR,Technician,,4,1,,No,2,Great team and supportive manager,1
85,65.0,Female,Operations,Technician,1140.0,12,2,3.0,No,1,Great team and supportive manager,0
147,25.0,Female,Sales,Technician,2849.0,13,3,3.0,Yes,1,Need more career growth opportunities,0
67,34.0,Female,IT,Engineer,4980.0,11,4,4.0,No,5,Workload is too high and stressful,0
112,34.0,Female,Operations,Technician,3964.0,15,1,3.0,Yes,2,Great team and supportive manager,0
154,36.0,Male,Operations,Analyst,7924.0,2,2,2.0,No,4,Salary is not competitive,0
97,37.0,Male,Sales,Analyst,6301.0,15,4,4.0,No,3,Need more career growth opportunities,1
39,24.0,Female,HR,Analyst,5868.0,13,2,2.0,No,4,Need more career growth opportunities,0
25,30.0,Male,Sales,Analyst,7995.0,6,3,3.0,No,5,Workload is too high and stressful,1
140,25.0,Female,Sales,Technician,3634.0,11,1,2.0,No,2,Flexible work hours are appreciated,0
113,35.0,Female,IT,Engineer,5924.0,10,2,3.0,Yes,1,Flexible work hours are appreciated,0
30,32.0,Female,Operations,Executive,4093.0,12,4,3.0,Yes,4,Great team and supportive manager,0
20,23.0,Female,HR,Technician,5016.0,6,4,3.0,No,2,Great team and supportive manager,0
179,32.0,Female,Finance,Analyst,2460.0,18,2,4.0,No,5,Lack of recognition for hard work,0
91,35.0,Male,IT,Manager,3233.0,5,1,1.0,No,1,Workload is too high and stressful,0
174,37.0,Female,HR,Manager,6467.0,3,1,1.0,Yes,4,Salary is not competitive,0
94,32.0,Female,IT,Executive,4092.0,17,1,2.0,No,5,Need more career growth opportunities,1
6,33.0,Male,HR,Analyst,4888.0,14,2,2.0,No,4,Flexible work hours are appreciated,0
168,50.0,Female,Sales,Analyst,4063.0,15,4,1.0,No,4,Lack of recognition for hard work,0
57,28.0,Female,Finance,Technician,2208.0,15,1,2.0,No,2,Lack of recognition for hard work,0
129,,Male,IT,Executive,,18,2,,Yes,2,Salary is not competitive,0
77,35.0,Male,Finance,Technician,4390.0,8,4,1.0,Yes,5,Flexible work hours are appreciated,0
145,37.0,Female,Finance,Manager,4327.0,17,2,4.0,No,4,I am happy with my work environment,0
105,33.0,Male,Sales,Manager,5628.0,6,4,1.0,No,2,Need more career growth opportunities,0
178,46.0,Male,HR,Executive,5092.0,4,3,2.0,No,5,Flexible work hours are appreciated,0
76,41.0,Female,IT,Analyst,7761.0,11,2,3.0,No,4,Lack of recognition for hard work,1
175,,Male,Finance,Engineer,,13,3,,No,2,Salary is not competitive,0
32,49.0,Female,Operations,Engineer,5239.0,6,1,4.0,Yes,3,Great team and supportive manager,0
13,36.0,Male,Operations,Manager,30000.0,11,2,2.0,No,3,I am happy with my work environment,0
36,25.0,Male,Operations,Engineer,4783.0,13,3,3.0,No,5,Salary is not competitive,0
126,52.0,Male,IT,Manager,5469.0,18,1,2.0,No,2,Flexible work hours are appreciated,0
43,34.0,Female,Sales,Engineer,4336.0,11,4,1.0,No,5,Flexible work hours are appreciated,0
157,49.0,Male,IT,Technician,4465.0,2,1,2.0,Yes,5,Need more career growth opportunities,1
137,28.0,Male,Finance,Analyst,5164.0,2,3,1.0,No,3,Salary is not competitive,0
141,36.0,Male,IT,Engineer,3693.0,8,3,2.0,No,5,Flexible work hours are appreciated,0
52,31.0,Female,Sales,Analyst,4402.0,17,4,3.0,Yes,5,Great team and supportive manager,0
114,54.0,Female,Operations,Analyst,4054.0,16,4,1.0,Yes,5,Workload is too high and stressful,0
167,41.0,Female,Sales,Executive,3844.0,12,1,2.0,No,2,Great team and supportive manager,0
42,36.0,Male,IT,Manager,5956.0,2,3,4.0,No,4,Workload is too high and stressful,0
125,39.0,Male,Finance,Engineer,4713.0,18,3,1.0,Yes,1,Workload is too high and stressful,0
79,35.0,Male,Finance,Analyst,1632.0,7,3,3.0,No,3,Flexible work hours are appreciated,0
120,18.0,Male,Finance,Engineer,6211.0,7,3,2.0,No,2,Salary is not competitive,0
27,25.0,Male,HR,Technician,5939.0,17,1,3.0,No,4,Workload is too high and stressful,1
138,32.0,Male,Operations,Manager,6694.0,3,1,4.0,Yes,4,I am happy with my work environment,1
96,,Female,Finance,Engineer,,17,2,,No,2,Lack of recognition for hard work,0
118,25.0,Male,Sales,Technician,4628.0,14,4,4.0,No,4,Lack of recognition for hard work,0
3,40.0,Male,IT,Technician,6196.0,18,4,2.0,Yes,1,Need more career growth opportunities,0
78,32.0,Male,Sales,Technician,5390.0,10,4,1.0,No,2,I am happy with my work environment,0
47,31.0,Male,Sales,Engineer,4588.0,19,4,3.0,No,5,Flexible work hours are appreciated,0
123,46.0,Male,IT,Analyst,4334.0,16,1,2.0,Yes,5,Workload is too high and stressful,0
128,30.0,Male,HR,Manager,5415.0,3,1,3.0,Yes,5,Workload is too high and stressful,0
86,30.0,Female,Operations,Manager,4421.0,19,2,2.0,Yes,2,I am happy with my work environment,0
139,41.0,Female,Sales,Manager,4132.0,5,2,3.0,No,2,Need more career growth opportunities,0
37,36.0,Female,Sales,Engineer,6002.0,7,2,2.0,No,4,Need more career growth opportunities,0
115,33.0,Female,Sales,Engineer,3627.0,7,3,4.0,No,1,Need more career growth opportunities,0
62,33.0,Male,Sales,Executive,20000.0,19,1,3.0,No,2,Workload is too high and stressful,0
23,35.0,Male,HR,Engineer,3878.0,4,1,1.0,No,5,Flexible work hours are appreciated,0
136,47.0,Female,Finance,Manager,2556.0,13,1,4.0,No,4,Great team and supportive manager,0
193,36.0,Female,Sales,Analyst,4286.0,6,4,2.0,Yes,4,I am happy with my work environment,0
34,26.0,Male,Sales,Technician,5965.0,2,3,3.0,No,5,Flexible work hours are appreciated,0
12,31.0,Female,HR,Manager,5741.0,9,3,2.0,Yes,1,Workload is too high and stressful,0
200,25.0,Male,IT,Manager,3536.0,4,4,1.0,No,5,Salary is not competitive,1
164,28.0,Female,Sales,Technician,6427.0,17,3,1.0,No,5,Lack of recognition for hard work,0
7,47.0,Male,IT,Analyst,5849.0,9,1,1.0,Yes,2,Need more career growth opportunities,1
28,38.0,Female,Operations,Manager,3481.0,5,1,1.0,No,3,Lack of recognition for hard work,0
127,27.0,Female,HR,Engineer,3208.0,7,1,2.0,No,3,Great team and supportive manager,1
197,27.0,Male,Finance,Engineer,4449.0,13,2,1.0,No,4,Workload is too high and stressful,0
142,45.0,Male,Operations,Manager,2582.0,12,3,1.0,No,4,Great team and supportive manager,0
5,33.0,Male,Sales,Manager,7692.0,17,3,2.0,No,3,Salary is not competitive,0
33,34.0,Female,Finance,Engineer,5677.0,8,1,3.0,Yes,5,Lack of recognition for hard work,0
110,34.0,Male,Operations,Technician,2961.0,9,1,2.0,No,3,Flexible work hours are appreciated,1
188,34.0,Female,Sales,Technician,6121.0,4,3,4.0,No,5,Workload is too high and stressful,0
116,,Male,Finance,Analyst,,17,4,,No,5,Lack of recognition for hard work,1
149,39.0,Female,Operations,Executive,5454.0,1,2,1.0,No,3,I am happy with my work environment,0
11,31.0,Male,Finance,Engineer,4353.0,7,2,3.0,No,2,Salary is not competitive,0
63,26.0,Male,Finance,Engineer,6822.0,3,1,1.0,No,1,Great team and supportive manager,0
119,44.0,Male,Operations,Engineer,4901.0,15,1,4.0,No,3,Great team and supportive manager,1
151,37.0,Female,Finance,Executive,6559.0,13,3,4.0,No,4,Lack of recognition for hard work,0
171,,Female,Sales,Analyst,,5,4,,No,3,Flexible work hours are appreciated,0
1,38.0,Female,Operations,Engineer,4690.0,14,3,1.0,Yes,1,Need more career growth opportunities,1
185,33.0,Male,Finance,Analyst,7051.0,9,3,4.0,No,4,Flexible work hours are appreciated,0
184,38.0,Female,HR,Executive,5700.0,15,2,4.0,No,1,Flexible work hours are appreciated,0
71,37.0,Female,Finance,Technician,6455.0,9,4,4.0,No,2,I am happy with my work environment,0
159,,Female,Operations,Executive,,13,3,,No,3,Lack of recognition for hard work,0
65,41.0,Male,Operations,Manager,3677.0,17,1,4.0,No,4,Flexible work hours are appreciated,0
45,23.0,Male,Finance,Manager,5980.0,19,2,1.0,No,3,Salary is not competitive,0
166,38.0,Female,Sales,Engineer,1738.0,16,1,4.0,Yes,3,Salary is not competitive,0
29,30.0,Female,HR,Engineer,8584.0,6,3,2.0,No,2,Flexible work hours are appreciated,0
41,40.0,Male,Sales,Technician,6144.0,14,4,1.0,No,3,I am happy with my work environment,0
109,37.0,Male,HR,Manager,5806.0,15,3,2.0,Yes,1,Lack of recognition for hard work,0
124,23.0,Female,Operations,Engineer,5123.0,8,1,3.0,Yes,1,I am happy with my work environment,0
24,23.0,Female,IT,Manager,1791.0,9,2,4.0,No,2,Lack of recognition for hard work,0
156,29.0,Female,Operations,Technician,-352.0,10,1,2.0,No,4,Need more career growth opportunities,0
190,22.0,Female,IT,Manager,4238.0,5,1,2.0,No,3,Workload is too high and stressful,0
82,37.0,Female,Finance,Manager,3599.0,18,3,2.0,No,4,Salary is not competitive,0
40,36.0,Female,Operations,Analyst,5745.0,17,1,2.0,No,3,Lack of recognition for hard work,0
173,34.0,Female,Finance,Manager,5214.0,17,4,4.0,No,4,Lack of recognition for hard work,0
48,43.0,Female,Operations,Engineer,5912.0,11,1,3.0,Yes,4,Workload is too high and stressful,0
95,31.0,Male,HR,Executive,6142.0,10,1,3.0,Yes,4,I am happy with my work environment,0
159,,Female,Operations,Executive,,13,3,,No,3,Lack of recognition for hard work,0
44,32.0,Male,IT,Manager,5688.0,1,3,3.0,Yes,5,Workload is too high and stressful,0
143,22.0,Male,Finance,Analyst,7024.0,7,3,1.0,No,5,Lack of recognition for hard work,0
4,47.0,Female,Sales,Engineer,5217.0,19,1,1.0,No,1,Workload is too high and stressful,0
106,38.0,Male,HR,Technician,4416.0,8,4,4.0,No,1,Workload is too high and stressful,0
54,39.0,Male,Sales,Analyst,6208.0,8,1,4.0,No,3,Need more career growth opportunities,0
134,38.0,Male,Finance,Engineer,5021.0,3,4,1.0,Yes,1,Great team and supportive manager,0
186,40.0,Female,Finance,Manager,6437.0,15,4,1.0,No,4,Lack of recognition for hard work,0
162,41.0,Female,IT,Analyst,6382.0,7,1,3.0,No,3,Salary is not competitive,1
191,31.0,Female,Sales,Engineer,4506.0,5,1,4.0,No,5,Lack of recognition for hard work,0
50,20.0,Female,Sales,Manager,6237.0,11,1,1.0,Yes,4,Flexible work hours are appreciated,0
81,33.0,Female,Operations,Manager,8385.0,3,4,1.0,Yes,5,Flexible work hours are appreciated,0
35,41.0,Male,Operations,Engineer,6025.0,12,2,2.0,Yes,3,Need more career growth opportunities,0
8,41.0,Female,Finance,Analyst,6247.0,8,3,2.0,Yes,3,I am happy with my work environment,0
111,19.0,Female,Operations,Technician,7095.0,13,1,4.0,No,4,Salary is not competitive,1
92,42.0,Male,Operations,Analyst,3979.0,12,4,4.0,Yes,2,Salary is not competitive,0
84,30.0,Female,Sales,Analyst,5273.0,12,4,2.0,No,2,Great team and supportive manager,1
182,28.0,Female,HR,Engineer,3926.0,1,1,2.0,No,1,Great team and supportive manager,0
187,38.0,Female,Operations,Executive,5340.0,17,4,2.0,No,3,Salary is not competitive,0
90,39.0,Female,Operations,Analyst,7351.0,19,4,1.0,No,2,Salary is not competitive,1
9,31.0,Female,Operations,Technician,2380.0,2,1,2.0,Yes,3,Lack of recognition for hard work,0
14,19.0,Female,IT,Analyst,3777.0,14,1,2.0,Yes,5,Salary is not competitive,0
60,42.0,Male,IT,Executive,1490.0,4,3,3.0,No,5,Workload is too high and stressful,0
177,35.0,Male,Operations,Manager,5019.0,18,2,1.0,Yes,5,Salary is not competitive,0
132,35.0,Female,Operations,Manager,4017.0,17,3,4.0,No,5,I am happy with my work environment,0
18,37.0,Female,HR,Analyst,5207.0,5,2,4.0,No,5,I am happy with my work environment,1
73,34.0,Male,HR,Analyst,4471.0,8,1,3.0,Yes,4,Flexible work hours are appreciated,1
181,40.0,Female,HR,Manager,5346.0,16,2,4.0,No,2,Flexible work hours are appreciated,1
135,27.0,Male,HR,Technician,8414.0,12,3,2.0,Yes,3,I am happy with my work environment,1
172,28.0,Male,IT,Executive,2178.0,1,4,3.0,No,2,Flexible work hours are appreciated,0
199,35.0,Male,Operations,Manager,5249.0,7,3,1.0,No,1,Salary is not competitive,0
64,25.0,Female,Finance,Technician,3678.0,11,3,2.0,No,3,Workload is too high and stressful,0
55,43.0,Female,Sales,Analyst,1510.0,3,2,2.0,No,2,Flexible work hours are appreciated,0
108,36.0,Female,HR,Executive,3350.0,12,4,3.0,No,5,Need more career growth opportunities,0
51,37.0,Female,Operations,Manager,7658.0,4,1,1.0,Yes,3,Flexible work hours are appreciated,0
16,,Female,IT,Technician,,13,1,,No,2,Great team and supportive manager,0
170,28.0,Female,IT,Manager,5223.0,7,2,3.0,Yes,1,Need more career growth opportunities,0
59,37.0,Female,Operations,Analyst,6030.0,1,3,2.0,No,1,Great team and supportive manager,0
49,37.0,Male,Finance,Executive,7563.0,8,3,3.0,No,5,Flexible work hours are appreciated,0
89,30.0,Male,HR,Executive,6077.0,12,4,4.0,No,5,Salary is not competitive,0
22,33.0,Male,HR,Manager,2472.0,10,1,4.0,Yes,4,Need more career growth opportunities,0
58,32.0,Male,Sales,Technician,6495.0,5,4,4.0,No,2,Salary is not competitive,0
161,27.0,Male,IT,Analyst,3757.0,3,4,4.0,No,2,Lack of recognition for hard work,0
198,36.0,Male,Operations,Engineer,5708.0,2,4,2.0,No,2,Salary is not competitive,0
130,30.0,Male,IT,Analyst,6358.0,10,4,2.0,No,3,Lack of recognition for hard work,0
38,19.0,Female,Finance,Engineer,4716.0,10,2,2.0,Yes,1,Workload is too high and stressful,0
158,38.0,Female,Finance,Technician,5357.0,13,4,3.0,No,4,Flexible work hours are appreciated,1
194,25.0,Male,Operations,Analyst,6523.0,7,4,1.0,No,1,Salary is not competitive,0
2,33.0,Female,Finance,Analyst,1583.0,17,4,4.0,No,1,Flexible work hours are appreciated,1
53,29.0,Female,IT,Executive,5375.0,7,2,4.0,No,4,Lack of recognition for hard work,0
150,37.0,Female,HR,Analyst,6749.0,16,3,1.0,Yes,1,Salary is not competitive,0
131,22.0,Female,Operations,Analyst,25000.0,7,3,4.0,No,2,Lack of recognition for hard work,0
152,37.0,Female,Operations,Analyst,3499.0,10,2,1.0,No,5,Need more career growth opportunities,1
104,28.0,Female,HR,Technician,4256.0,16,3,1.0,Yes,4,Flexible work hours are appreciated,1
100,33.0,Female,Finance,Engineer,5306.0,19,2,4.0,No,2,Need more career growth opportunities,1
117,34.0,Female,Sales,Technician,6577.0,7,4,1.0,No,3,Great team and supportive manager,0
88,37.0,Male,HR,Engineer,7998.0,2,1,3.0,No,1,I am happy with my work environment,0
75,14.0,Female,Operations,Analyst,4922.0,1,3,2.0,No,1,Need more career growth opportunities,0
122,27.0,Male,Finance,Executive,4942.0,19,4,4.0,Yes,5,Workload is too high and stressful,0
129,,Male,IT,Executive,,18,2,,Yes,2,Salary is not competitive,0
21,46.0,Female,HR,Technician,6322.0,18,2,3.0,No,1,Great team and supportive manager,0
189,28.0,Male,Finance,Analyst,6507.0,12,2,4.0,No,4,Lack of recognition for hard work,0
72,47.0,Female,IT,Executive,6081.0,9,1,1.0,No,4,Salary is not competitive,0
107,50.0,Female,IT,Executive,3147.0,18,2,3.0,No,2,Salary is not competitive,0
15,21.0,Male,HR,Manager,7770.0,4,2,4.0,No,2,Workload is too high and stressful,0
93,29.0,Female,IT,Manager,2480.0,17,1,4.0,No,3,Workload is too high and stressful,0
180,56.0,Female,Finance,Technician,3649.0,5,3,3.0,No,1,Workload is too high and stressful,0
103,32.0,Male,Operations,Technician,4058.0,5,2,1.0,Yes,3,Lack of recognition for hard work,0
